default_code|name|description|sale_ok|purchase_ok|can_be_expensed|type|list_price|standard_price|barcode|categ_id|categ_parent_1|categ_parent_2|categ_parent_3|categ_parent_4|categ_parent_5|incoming_inspection|manufacturer_pref|warranty|warranty_type|lead_time|lead_time_type|rohs_regulation|manufacturer_purl|manufacturer_id|active|arancel_id|ecoraee_active|tracking|weight|intrastat_id|default_ubication|optional_product_ids|route_ids|version|uom_id|uom_po_id|invoice_policy|event_ok|customer_ids|description_sale|sale_line_warn|responsible_id|volume|produce_delay|sale_delay|hs_code|description_pickingout|description_pickingin|description_picking|intrastat_origin_country_id
REP-41905/03059|REPARACIÓN PPR/6142 - 41905||Sí|Sí|No|product|587,06154|381,59|http://server7/qr-almacen/?ref=REP-41905-03059&token=b0ff3d521de1ccf2d85e1772b1fb7ec7||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41905/03059||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41906/02752|REPARACIÓN 41906 SERVI||Sí|Sí|No|product|297,90905|193,64088|http://server7/qr-almacen/?ref=REP-41906-02752&token=fa857cbe119376303a288906974a9bae||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41906/02752||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41906/03964|REPARACIÓN 41906||Sí|Sí|No|product|113,49231|73,77|http://server7/qr-almacen/?ref=REP-41906-03964&token=2c2c82c037a6d7f6bc681d4391cb7910||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41906/03964||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41920/02775|REPARACIÓN 41920 SERVI||Sí|Sí|No|product|408,14586|265,29481|http://server7/qr-almacen/?ref=REP-41920-02775&token=4bcfa8eb3a7639a7de0c27d72d5a9a7b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41920/02775||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41923/02775|REPARACIÓN 41923 SERVI||Sí|Sí|No|product|408,14586|265,29481|http://server7/qr-almacen/?ref=REP-41923-02775&token=267c8d4c9eeae20e144993a42b766d64||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41923/02775||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41940/03318|REPARACIÓN PPR/7082 - 41940||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-41940-03318&token=58bdcc4f5538fb47619ea6e51f3dcfb1||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41940/03318||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41941/03519|REPARACIÓN PPR/7478-41941||Sí|Sí|No|product|406,90769|264,49|http://server7/qr-almacen/?ref=REP-41941-03519&token=23b5b52cfe0b09d7b95bab2beaa70ed9||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41941/03519||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41943/02840|REPARACIÓN 41943 SERVI||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-41943-02840&token=203139eaf0466b88b19c5b06cb6ef9d3||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41943/02840||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41943/03394|REPARACIÓN PPR/7193-41943||Sí|Sí|No|product|403,34957|262,17722|http://server7/qr-almacen/?ref=REP-41943-03394&token=cc1376946a77d8cbd730b397c1be3782||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41943/03394||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41944/03482|REPARACIÓN PPR/7403-41944||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-41944-03482&token=58a1906305efc4d5d2af4dc25c9f4a14||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41944/03482||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41948/03394|REPARACIÓN PPR/7199-41948||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-41948-03394&token=371b2f8250452009340e39929d9fd3dc||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41948/03394||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41950/03589|REPARACIÓN PPR/7685-41950||Sí|Sí|No|product|396,06157|257,44002|http://server7/qr-almacen/?ref=REP-41950-03589&token=647eda5ca7100b20018066e1743e1e7f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41950/03589||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41950/03823|REPARACIÓN 41950||Sí|Sí|No|product|75|48,75|http://server7/qr-almacen/?ref=REP-41950-03823&token=ad8ea149992176eac9f4ab9afcf49c72||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41950/03823||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41951/03128|REPARACIÓN PPR/6714 - 41951||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-41951-03128&token=66ca77c6792441ea9b67942f93d6024f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41951/03128||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41952/02996|REPARACIÓN 41952 SERVI||Sí|Sí|No|product|72,7984|47,31896|http://server7/qr-almacen/?ref=REP-41952-02996&token=cc965113e9a411095b7d058bf0eb6b91||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41952/02996||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41952/03210|REPARACIÓN PPR/6837 - 41952||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-41952-03210&token=b09ef48974c94b05f27fca772e423033||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41952/03210||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41952/03318|REPARACIÓN PPR/7088 - 41952||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-41952-03318&token=5fd7fb8155d29d1efcf19165a4020220||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41952/03318||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41969/03100|REPARACIÓN MONITOR S/N: 41969||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-41969-03100&token=2c10d221dd4711e754a75ec531c585f9||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41969/03100||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-41973/03100|REPARACIÓN MONITOR S/N: 41973||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-41973-03100&token=48a09bf15f0049e939d3e132bf7f767b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-41973/03100||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42093/03939|REPARACIÓN 42093||Sí|Sí|No|product|534,15617|347,20151|http://server7/qr-almacen/?ref=REP-42093-03939&token=282e94517c0e975abb70e571c1b64c21||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42093/03939||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42126/03992|REPARACIÓN 42126||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-42126-03992&token=df17ca791d7542eebc358decbec5c86c||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42126/03992||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42127/02967|REPARACIÓN PPR/6409 - 42127||Sí|Sí|No|product|587,09465|381,61152|http://server7/qr-almacen/?ref=REP-42127-02967&token=acaabc55f79132d094615ecb346971a4||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42127/02967||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42182/03268|REPARACIÓN PPR/6914 - 42182||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42182-03268&token=8f92a541b9f1f539dcc4f1a7e5c8399a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42182/03268||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42183/03992|REPARACIÓN 42183||Sí|Sí|No|product|303,60689|197,34448|http://server7/qr-almacen/?ref=REP-42183-03992&token=146331762bed3fe56327315bec2de40f||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42183/03992||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42186/03605|REPARACIÓN 42186||Sí|Sí|No|product|72,65329|47,22464|http://server7/qr-almacen/?ref=REP-42186-03605&token=e01594ac6390a6598fb710aa4915a1c3||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42186/03605||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42188/03482|REPARACIÓN PPR/7405-42188||Sí|Sí|No|product|71,17946|46,26665|http://server7/qr-almacen/?ref=REP-42188-03482&token=7f891ac6d32eade9ed33eb7929c3c65d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42188/03482||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42190/03298|REPARACIÓN PPR/7015 - 42190||Sí|Sí|No|product|382,30051|248,49533|http://server7/qr-almacen/?ref=REP-42190-03298&token=3d8fd27a50a6f62d49e0bedc1ed7037b||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42190/03298||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42196/02930|REPARACIÓN PPR/6214 - 42196||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42196-02930&token=27e87e272d64dff39e7f742649fe86d6||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42196/02930||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42196/03394|REPARACIÓN PPR/7203-42196||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42196-03394&token=472ed6e80cd935216dc43dd886235291||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42196/03394||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42196/03496|REPARACIÓN PPR/7445-42196||Sí|Sí|No|product|72,76923|47,3|http://server7/qr-almacen/?ref=REP-42196-03496&token=b7bfaaeb4d28cd5fef94ce787bc846d1||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42196/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42197/03892|REPARACIÓN 42197||Sí|Sí|No|product|123,52977|80,29435|http://server7/qr-almacen/?ref=REP-42197-03892&token=dbd791c768c441ee5f7d53b805b74f8c||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42197/03892||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42223/02840|REPARACIÓN 42223 SERVI||Sí|Sí|No|product|316,00154|205,401|http://server7/qr-almacen/?ref=REP-42223-02840&token=aaa926869b6f5f5dc9aa54ff899f9c13||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42223/02840||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42244/02958|REPARACIÓN 42224 SERVI||Sí|Sí|No|product|258,11538|167,775|http://server7/qr-almacen/?ref=REP-42244-02958&token=45406f6205b431734db8e17451626a77||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42244/02958||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42262/03394|REPARACIÓN PPR/7195-42262||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42262-03394&token=8eba8d8b7638fb4532ca63fe2443b691||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42262/03394||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42349/03605|REPARACIÓN 42349||Sí|Sí|No|product|383,28003|249,13202|http://server7/qr-almacen/?ref=REP-42349-03605&token=0244439a7df8de20b96c36625c630eea||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42349/03605||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42351/03031|REPARACIÓN PPR/6545 - 42351||Sí|Sí|No|product|171,05385|111,185|http://server7/qr-almacen/?ref=REP-42351-03031&token=d2d8d6270a833510ec3d52cd57644ba7||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42351/03031||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42356/03992|REPARACIÓN 42356||Sí|Sí|No|product|414,54225|269,45246|http://server7/qr-almacen/?ref=REP-42356-03992&token=6c69e3181fd4403d332ceb8d7f47c46d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42356/03992||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42357/03496|REPARACIÓN PPR/7442-42357||Sí|Sí|No|product|242,68151|157,74298|http://server7/qr-almacen/?ref=REP-42357-03496&token=7904625de87ae00577804f9d7c30a883||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42357/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42361/03589|REPARACIÓN PPR/7682-42361||Sí|Sí|No|product|72,56106|47,16469|http://server7/qr-almacen/?ref=REP-42361-03589&token=a2bde5675322b40bf2dee4a842984874||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42361/03589||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42363/03496|REPARACIÓN PPR/7446-42363||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42363-03496&token=9d8ea2a2128f37f0bbeae96575105091||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42363/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42365/03589|REPARACIÓN PPR/7683-42365||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42365-03589&token=7ec5b96800b4b866196c50cd8fff98fc||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42365/03589||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42366/03589|REPARACIÓN PPR/7684-42366||Sí|Sí|No|product|225,68671|146,69636|http://server7/qr-almacen/?ref=REP-42366-03589&token=3d78a7f46b1b2c6a31611abc787f48ea||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42366/03589||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42367/03686|REPARACIÓN 42367||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42367-03686&token=5473f15b4efeb56046e800cdc7a590c1||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42367/03686||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42367/03992|REPARACIÓN 42367||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-42367-03992&token=15143f2052c52ec6c82ef2aee581e6ac||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42367/03992||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42376/03496|REPARACIÓN PPR/7443-42376||Sí|Sí|No|product|232,14305|150,89298|http://server7/qr-almacen/?ref=REP-42376-03496&token=203d93d7a0beecb89daa68064d3d0317||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42376/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42494/03510|REPARACIÓN 42494||Sí|Sí|No|product|536,93706|349,00909|http://server7/qr-almacen/?ref=REP-42494-03510&token=3d3c1679fcdaf4cd807804a29471ee64||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42494/03510||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42588/03726|REPARACIÓN MONITOR S/N: 42588||Sí|Sí|No|product|106,30034|69,09522|http://server7/qr-almacen/?ref=REP-42588-03726&token=f6b7ca7fe1ae53274f83df84ff6f9510||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42588/03726||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42598/03605|REPARACIÓN PPR/7761-42598||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42598-03605&token=43937e2debee64dce5f602c604e7a1f3||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42598/03605||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42598/03974|REPARACIÓN 42598||Sí|Sí|No|product|75|48,75|http://server7/qr-almacen/?ref=REP-42598-03974&token=b21d88810d8f26a062038c5732b1366d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42598/03974||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42599/03268|REPARACIÓN PPR/6912 - 42599.||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42599-03268&token=b4e7c653a188d71206588384bc9c233a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42599/03268||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42599/03892|REPARACIÓN 42599||Sí|Sí|No|product|243,91745|158,54634|http://server7/qr-almacen/?ref=REP-42599-03892&token=4ff8911caf08d9c81458c7048ce78786||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42599/03892||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42601/03964|REPARACIÓN 42601||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-42601-03964&token=e932eb79590d218f0d2993f5c8e4580a||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42601/03964||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42604/03519|REPARACIÓN PPR/7488-42604||Sí|Sí|No|product|269,41026|175,11667|http://server7/qr-almacen/?ref=REP-42604-03519&token=2e375b99e4867da044469a1cd078da33||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42604/03519||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42606/03909|REPARACIÓN 42606||Sí|Sí|No|product|281,15669|182,75185|http://server7/qr-almacen/?ref=REP-42606-03909&token=0114da45f840d6543784625f604bfded||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42606/03909||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42607/03974|REPARACIÓN 42607||Sí|Sí|No|product|80,12109|52,07871|http://server7/qr-almacen/?ref=REP-42607-03974&token=c8f9650afa661f42a8827b2a13941233||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42607/03974||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42608/03605|REPARACIÓN 42608||Sí|Sí|No|product|271,15172|176,24862|http://server7/qr-almacen/?ref=REP-42608-03605&token=37b2ba8e28c96038b2b6759122b29a0c||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42608/03605||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42609/03605|REPARACIÓN 42609||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-42609-03605&token=42cfcfe889b83897d5ff19a3561db537||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42609/03605||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42609/03892|REPARACIÓN 42609||Sí|Sí|No|product|263,7282|171,42333|http://server7/qr-almacen/?ref=REP-42609-03892&token=892b5f4cfaf1acc4d023021601bba011||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42609/03892||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42613/03927|REPARACIÓN 42613||Sí|Sí|No|product|75|48,75|http://server7/qr-almacen/?ref=REP-42613-03927&token=a16b1475ae20396df1ebd4b31427f2e9||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42613/03927||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42747/03705|REPARACIÓN 42747||Sí|Sí|No|product|79,64268|51,76774|http://server7/qr-almacen/?ref=REP-42747-03705&token=699bcf669a5032c717ff284ee2a4cd2d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42747/03705||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42753/03458|REPARACIÓN  AVALON 42753||Sí|Sí|No|product|340,62231|221,4045|http://server7/qr-almacen/?ref=REP-42753-03458&token=cda9f57945677af6be4d31a209f2c35d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42753/03458||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42803/03510|Reparación 42803||Sí|Sí|No|product|117,55132|76,40836|http://server7/qr-almacen/?ref=REP-42803-03510&token=72a0d6e66fe21d750c89d492cd3ed158||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42803/03510||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42807/03732|REPARACIÓN  42807||Sí|Sí|No|product|96,84194|62,94726|http://server7/qr-almacen/?ref=REP-42807-03732&token=59b1921b134bed16291b16929e04e240||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42807/03732||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42858/03510|REPARACIÓN 42858||Sí|Sí|No|product|117,55132|76,40836|http://server7/qr-almacen/?ref=REP-42858-03510&token=2a088cd22f9c2cd86e93f321ce9e3a1d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42858/03510||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42859/03752|REPARACIÓN 42859 GMV||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=REP-42859-03752&token=aabfe3918369dbd0f0daaa483286edb6||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42859/03752||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-42971/03823|REPARACIÓN 42971||Sí|Sí|No|product|609,51248|396,18311|http://server7/qr-almacen/?ref=REP-42971-03823&token=bfb5eec9e247c45a10a2600665ac6364||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-42971/03823||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43018/03289|REPARACIÓN touch monitor access||Sí|Sí|No|product|163,14615|106,045|http://server7/qr-almacen/?ref=REP-43018-03289&token=9a3f6a75b9a882fc4e7556ce6b9177a8||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43018/003289||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43021/02858|REPARACIÓN GRIFOLS 43021||Sí|Sí|No|product|235,81745|153,28134|http://server7/qr-almacen/?ref=REP-43021-02858&token=ad3eb607b5c21f10daa8e039523e3887||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43021/02858||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43025/03964|REPARACIÓN 43025||Sí|Sí|No|product|515,26506|334,92229|http://server7/qr-almacen/?ref=REP-43025-03964&token=e59c8a0e5d47e6bbc67534510a317c17||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43025/03964||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43035/03394|REPARACIÓN PPR/7441-43036||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-43035-03394&token=eb3c5cdb91b2e967076aea70e64afbe3||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43035/03394||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43035/03605|REPARACIÓN 43035||Sí|Sí|No|product|306,58846|199,2825|http://server7/qr-almacen/?ref=REP-43035-03605&token=e3fce28e0ea3683e9e6e36338ad498ad||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43035/03605||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43036/03496|REPARACIÓN PPR/7441-43036||Sí|Sí|No|product|67,5|43,875|http://server7/qr-almacen/?ref=REP-43036-03496&token=dd4ac0963fdfdc2be21ec7bb27857528||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43036/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43036/03783|REPARACIÓN 43036||Sí|Sí|No|product|434,85457|282,65547|http://server7/qr-almacen/?ref=REP-43036-03783&token=d2d27b081efc582e5a5588713f8c5b16||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43036/03783||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
REP-43049/03496|REPARACIÓN PPR/7435-43049||Sí|Sí|No|product|498,82308|324,235|http://server7/qr-almacen/?ref=REP-43049-03496&token=3f3f6d9640fd50371ee6047bbed564e4||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|REP-43049/03496||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|||||||||||||||||
